filename,category,f1_score,accuracy
643_129_129_83_17,eukaryote,0.9818181818181818,0.997002997002997
643_129_129_83_17,eukaryote_virus,1.0,1.0
643_129_129_83_17,plasmid,0.8857142857142856,0.968031968031968
643_129_129_83_17,prokaryote,0.9739130434782609,0.967032967032967
643_129_129_83_17,prokaryote_virus,0.9612403100775194,0.99000999000999
643_129_129_83_17,virus,0.9657534246575342,0.99000999000999
600_150_150_80_20,eukaryote,0.9937888198757764,0.999
600_150_150_80_20,eukaryote_virus,0.9473684210526316,0.998
600_150_150_80_20,plasmid,0.896341463414634,0.966
600_150_150_80_20,prokaryote,0.9658703071672354,0.96
600_150_150_80_20,prokaryote_virus,0.9568106312292359,0.987
600_150_150_80_20,virus,0.9616519174041299,0.987
540_180_180_75_25,eukaryote,0.9933774834437086,0.999
540_180_180_75_25,eukaryote_virus,0.9795918367346939,0.999
540_180_180_75_25,plasmid,0.8883116883116882,0.957
540_180_180_75_25,prokaryote,0.9574266792809839,0.955
540_180_180_75_25,prokaryote_virus,0.9720670391061451,0.99
540_180_180_75_25,virus,0.9729729729729729,0.989
450_225_225_67_33,eukaryote,0.9781021897810218,0.997
450_225_225_67_33,eukaryote_virus,0.9565217391304348,0.997
450_225_225_67_33,plasmid,0.9307359307359309,0.968
450_225_225_67_33,prokaryote,0.9649717514124293,0.969
450_225_225_67_33,prokaryote_virus,0.9753914988814317,0.989
450_225_225_67_33,virus,0.9844961240310077,0.992
500_100_100_250_50,eukaryote,0.9960159362549801,0.998
500_100_100_250_50,eukaryote_virus,0.9591836734693877,0.996
500_100_100_250_50,plasmid,0.8571428571428571,0.968
500_100_100_250_50,prokaryote,0.9652351738241308,0.966
500_100_100_250_50,prokaryote_virus,0.9595959595959594,0.992
500_100_100_250_50,virus,0.9729729729729729,0.992
467_117_117_240_60,eukaryote,0.9958333333333333,0.998001998001998
467_117_117_240_60,eukaryote_virus,0.9752066115702478,0.997002997002997
467_117_117_240_60,plasmid,0.8968253968253967,0.974025974025974
467_117_117_240_60,prokaryote,0.9629629629629631,0.9660339660339661
467_117_117_240_60,prokaryote_virus,0.9437229437229437,0.987012987012987
467_117_117_240_60,virus,0.9545454545454545,0.984015984015984
420_140_140_225_75,eukaryote,1.0,1.0
420_140_140_225_75,eukaryote_virus,0.9864864864864865,0.998
420_140_140_225_75,plasmid,0.9146757679180887,0.975
420_140_140_225_75,prokaryote,0.9723225030084236,0.977
420_140_140_225_75,prokaryote_virus,0.9856115107913668,0.996
420_140_140_225_75,virus,0.9906103286384975,0.996
350_175_175_200_100,eukaryote,0.995,0.998
350_175_175_200_100,eukaryote_virus,0.99,0.998
350_175_175_200_100,plasmid,0.9243243243243243,0.972
350_175_175_200_100,prokaryote,0.9682080924855492,0.978
350_175_175_200_100,prokaryote_virus,0.9585798816568047,0.986
350_175_175_200_100,virus,0.9702602230483272,0.984
357_71_71_417_83,eukaryote,0.9963985594237696,0.996996996996997
357_71_71_417_83,eukaryote_virus,0.9879518072289156,0.997997997997998
357_71_71_417_83,plasmid,0.8516129032258065,0.9769769769769769
357_71_71_417_83,prokaryote,0.9660056657223796,0.975975975975976
357_71_71_417_83,prokaryote_virus,0.9710144927536231,0.995995995995996
357_71_71_417_83,virus,0.9868421052631579,0.995995995995996
333_83_83_400_100,eukaryote,0.9975062344139651,0.997997997997998
333_83_83_400_100,eukaryote_virus,0.98989898989899,0.997997997997998
333_83_83_400_100,plasmid,0.8670520231213873,0.9769769769769769
333_83_83_400_100,prokaryote,0.9680365296803655,0.978978978978979
333_83_83_400_100,prokaryote_virus,0.9523809523809523,0.991991991991992
333_83_83_400_100,virus,0.9726775956284153,0.98998998998999
300_100_100_375_125,eukaryote,0.9959946595460616,0.997
300_100_100_375_125,eukaryote_virus,0.976,0.994
300_100_100_375_125,plasmid,0.9150943396226415,0.982
300_100_100_375_125,prokaryote,0.9662162162162162,0.98
300_100_100_375_125,prokaryote_virus,0.9644670050761421,0.993
300_100_100_375_125,virus,0.9843400447427293,0.993
250_125_125_333_167,eukaryote,0.996996996996997,0.998
250_125_125_333_167,eukaryote_virus,0.9940119760479041,0.998
250_125_125_333_167,plasmid,0.88715953307393,0.971
250_125_125_333_167,prokaryote,0.9414141414141414,0.971
250_125_125_333_167,prokaryote_virus,0.9838709677419355,0.996
250_125_125_333_167,virus,0.9931271477663229,0.996
214_43_43_583_117,eukaryote,0.9974293059125964,0.997
214_43_43_583_117,eukaryote_virus,0.9957081545064378,0.999
214_43_43_583_117,plasmid,0.8247422680412371,0.983
214_43_43_583_117,prokaryote,0.966346153846154,0.986
214_43_43_583_117,prokaryote_virus,0.942528735632184,0.995
214_43_43_583_117,virus,0.98125,0.994
200_50_50_560_140,eukaryote,0.9964221824686942,0.996
200_50_50_560_140,eukaryote_virus,0.9858156028368794,0.996
200_50_50_560_140,plasmid,0.8727272727272728,0.986
200_50_50_560_140,prokaryote,0.9642857142857143,0.986
200_50_50_560_140,prokaryote_virus,0.9795918367346939,0.998
200_50_50_560_140,virus,0.9842105263157894,0.994
180_60_60_525_175,eukaryote,0.9952426260704091,0.995
180_60_60_525_175,eukaryote_virus,0.9827586206896551,0.994
180_60_60_525_175,plasmid,0.9133858267716535,0.989
180_60_60_525_175,prokaryote,0.9690140845070423,0.989
180_60_60_525_175,prokaryote_virus,0.9411764705882353,0.993
180_60_60_525_175,virus,0.9807280513918629,0.991
150_75_75_467_233,eukaryote,0.9946409431939979,0.995
150_75_75_467_233,eukaryote_virus,0.9848812095032398,0.993
150_75_75_467_233,plasmid,0.906832298136646,0.985
150_75_75_467_233,prokaryote,0.952054794520548,0.986
150_75_75_467_233,prokaryote_virus,0.9536423841059603,0.993
150_75_75_467_233,virus,0.986970684039088,0.992
71_14_14_750_150,eukaryote,0.9986666666666667,0.997997997997998
71_14_14_750_150,eukaryote_virus,0.9966555183946488,0.998998998998999
71_14_14_750_150,plasmid,0.8235294117647058,0.993993993993994
71_14_14_750_150,prokaryote,0.9635036496350364,0.994994994994995
71_14_14_750_150,prokaryote_virus,1.0,1.0
71_14_14_750_150,virus,0.9969418960244648,0.998998998998999
67_17_17_720_180,eukaryote,0.9958333333333333,0.994005994005994
67_17_17_720_180,eukaryote_virus,0.9915966386554621,0.997002997002997
67_17_17_720_180,plasmid,0.8108108108108107,0.993006993006993
67_17_17_720_180,prokaryote,0.9323308270676692,0.991008991008991
67_17_17_720_180,prokaryote_virus,0.9714285714285714,0.999000999000999
67_17_17_720_180,virus,0.9897959183673469,0.996003996003996
60_20_20_675_225,eukaryote,0.9948032665181885,0.993
60_20_20_675_225,eukaryote_virus,0.9844097995545658,0.993
60_20_20_675_225,plasmid,0.8837209302325583,0.995
60_20_20_675_225,prokaryote,0.9666666666666667,0.996
60_20_20_675_225,prokaryote_virus,0.975609756097561,0.999
60_20_20_675_225,virus,0.9877551020408163,0.994
50_25_25_600_300,eukaryote,0.995,0.994
50_25_25_600_300,eukaryote_virus,0.9865771812080537,0.992
50_25_25_600_300,plasmid,0.8771929824561403,0.993
50_25_25_600_300,prokaryote,0.9166666666666666,0.992
50_25_25_600_300,prokaryote_virus,0.9411764705882353,0.997
50_25_25_600_300,virus,0.9860896445131375,0.991
