	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187379	597113	269418	607450	825266	2306052
SRZ187380	1494426	719088	2141271	4270757	956458
SRZ187381	2254283	426299	2874340	3689989	810219
SRZ187382	1053815	522326	1565387	2056491	2810427
SRZ187383	801498	262462	1103149	1882805	1021682
SRZ187384	1660903	335837	2459325	4155646	675847
SRZ187385	1452316	264029	2128466	3733429	334972
SRZ187386	1584078	620299	2219945	3947693	792201
SRZ187387	743658	211615	720591	1047875	2624075
SRZ187388	316166	127077	384982	642685	1332850
SRZ187389	1095483	223222	1756077	2919539	393391
SRZ187390	964416	298448	1433767	2529646	566710
SRZ187391	224389	240587	357600	488261	2374850
SRZ187392	1432427	676831	1914321	3211217	388374
SRZ187393	1409146	257418	1731837	2563922	728052
SRZ187394	177939	242758	167558	153751	111650
SRZ187395	805012	178159	1107372	1184032	827501
SRZ187396	621970	439741	465502	608696	2411315
SRZ187397	640613	560118	2179304	3596092	1050367
SRZ187398	896738	168835	1401824	2639133	508441
SRZ187399	1475754	399208	1357059	1843445	1676668
SRZ187400	271868	264025	582221	788068	414308
SRZ187401	687264	306849	1452165	3297666	709314
SRZ187402	1091581	565195	2399480	5920317	862971
SRZ187403	2062505	1023403	1571968	4653952	3543122
SRZ187404	1840174	1034132	2355232	6780826	3207184
SRZ187405	722365	398704	2556675	4881449	1185729
SRZ187406	2721252	293849	1563089	2620148	1042003
SRZ187407	726695	341045	330643	515444	413990
SRZ187408	841241	343728	1163599	1456627	715168
SRZ187409	595791	414541	1194223	1818450	4086117
SRZ187410	599938	364066	1437216	2776694	892286
SRZ187411	928682	331821	885524	1794435	811142
SRZ187412	539823	286246	1195709	2747374	4079533
SRZ187413	447656	479750	332053	410691	673252
SRZ187414	578057	245004	952417	1571153	555990
SRZ187415	749165	182980	1314684	2868874	794347
SRZ187416	428513	82264	1060727	1465997	505654
SRZ187417	594268	421734	679749	1313116	924238
SRZ187418	623902	147538	1806523	2867134	292349
SRZ187419	411910	155137	1095134	1931762	598412
SRZ187420	826962	334997	523813	793490	439732
SRZ187421	1284759	243913	2220778	3815754	1044680
SRZ187422	1781601	606873	2962259	4628341	2924294
SRZ187423	654512	163926	1741118	2357096	1089532
SRZ187424	918546	271775	901451	1072929	4121041
SRZ187425	398273	224838	577697	819422	2408938
SRZ187426	381580	486788	730952	764435	399654
SRZ187427	518927	490816	1245805	1895104	656696
SRZ187428	674053	519823	2414358	4032883	1118320
SRZ187429	1324633	378637	2261240	3596133	2599365
SRZ187430	3177850	914890	2617516	4446378	1576602
SRZ187431	1160326	800351	3968191	29832163	1890004
SRZ187432	466879	624969	1646235	8091278	849273
SRZ187433	271896	374828	1894229	25206427	498775
SRZ187434	1027784	700326	4516425	21072462	1701039
SRZ187435	2599608	775954	3310773	4956964	5332383
SRZ187436	1134730	247546	1311997	1568053	1606798
SRZ187437	671537	219641	862883	1080375	2208087
SRZ187438	888126	405119	1465844	3860524	3018693
SRZ187439	436176	347947	979141	1295865	1981244
SRZ187440	577753	618207	960239	1080855	922219
SRZ187441	391681	439715	1639923	5024056	1052361
SRZ187442	462256	193954	940928	893213	2450453
SRZ187443	1280350	379995	1977927	2722556	1951965
SRZ187444	1125631	281196	1655199	2249493	1413535
SRZ187445	799697	196284	1620307	1973717	1053627
SRZ187446	1015235	223479	1687381	2156887	1187226
SRZ187447	1099782	353087	2146179	2769860	1666567
SRZ187448	651788	394127	938062	1081841	1155633
SRZ187449	186080	344889	1417635	2473163	525473
SRZ187450	885780	600273	3596854	8331521	707449
SRZ187451	895759	179054	1546065	1725943	836952
SRZ187452	765368	118926	1027847	1123107	500958
SRZ187453	1148051	326055	1499948	1815222	2454808
SRZ187454	1275375	314919	1593230	2025384	2697080
SRZ187455	1176155	330354	1501816	1673213	1711737
SRZ187456	979370	279115	1346188	1774908	2131444
SRZ187457	929834	284626	1315847	1617068	2210394
SRZ187458	746975	211938	1106787	1277039	1512159
SRZ187459	1181848	347692	1727838	2299456	2520425
SRZ187460	1007992	266864	1568915	1507190	2029463
SRZ187461	882566	300318	1418286	1656960	2413927
SRZ187462	670977	167423	885246	1402960	1100946
SRZ187463	664152	140061	984760	1254124	1199116
SRZ187464	562454	167364	817365	1392436	1234768
SRZ187465	529333	140090	701825	990271	1137726
SRZ187466	174165	98767	252050	712727	1717173
SRZ187467	692017	234959	881211	1629348	1862013
SRZ187468	225746	102063	423627	1059648	933328
SRZ187469	714683	167169	1033003	1342345	1335827
SRZ187470	740795	265918	906148	1467496	1231613
SRZ187471	539455	162567	719710	1271102	1303315
SRZ187472	1104103	220113	1238045	1417377	1844527
SRZ187473	662983	182289	1458001	2409107	1281395
SRZ187474	623017	204668	1648049	1764451	1574789
SRZ187475	562066	152747	1340704	2063701	1362844
SRZ187476	910540	250399	1718550	2955223	1885678
SRZ187477	690687	355772	1328295	1599287	1675819
SRZ187478	2470391	2114234	7220294	12167284	1858260
SRZ187479	1072536	292596	1582415	2214475	2473554
SRZ187480	686942	201787	490710	1320784	1389821
SRZ187481	1389942	283003	1927526	2575122	2075212
SRZ187482	1279225	336932	1851393	2357717	1789285
SRZ187483	1102202	265990	1981456	2639228	1859799
SRZ187484	2073323	513429	3499674	8519577	666064
SRZ187485	1298209	313832	2678591	5182722	551962
SRZ187486	733632	211778	1278911	3147435	422070
SRZ187487	834866	400023	1333210	3702360	633842
SRZ187488	1023458	348368	719440	2332935	336760
SRZ187489	1268405	297873	2619032	3397658	1042982
SRZ187490	1476805	340926	3065688	3999613	1193203
SRZ187491	936187	212773	1484491	1830054	1252235
SRZ187492	895902	256471	1722551	2471195	1732420
SRZ187493	972501	272265	1637032	2258370	1628110
SRZ187494	760621	181633	1469410	2021922	1441075
SRZ187495	937491	265378	1595247	2377450	1768267
SRZ187496	1124599	308063	1754752	2237446	1964123
SRZ187497	1601831	589862	1994614	2854230	2381756
SRZ187498	1007401	240316	1465118	2245570	1716496
SRZ187499	429167	137328	640673	1231226	885513
SRZ187500	595888	195188	740591	2077308	1651566
SRZ187501	615914	236518	951712	1101838	929199
SRZ187502	704032	146055	969354	1053268	998064
SRZ187503	458606	101407	817958	954327	762732
SRZ187504	583397	153329	846354	819994	944067
SRZ187505	339681	130827	429180	810517	1689986
SRZ187506	962925	211492	1586997	1763685	785035
SRZ187507	557994	145672	1265509	1671894	818812
SRZ187508	1871257	578811	3474508	4805582	2271850
SRZ187509	1517735	484185	2521338	3271727	2763452
SRZ187510	613603	235282	1290513	2111354	3807909
SRZ187511	143173	197574	1020799	3059896	278562
SRZ187512	728879	214495	1166095	2407458	1482365
SRZ187513	2292246	778965	4730650	5872504	6013791
SRZ187514	412818	89623	1042696	1546398	1138396
SRZ187515	315004	105589	840629	1638972	1146630
SRZ187516	340962	176052	533031	944925	2191559
SRZ187517	1357474	338106	2418310	2736510	1343009
SRZ187518	666816	131946	1183524	1622623	492622
SRZ187519	481179	110565	877357	907078	392022
SRZ187520	1085611	762659	2015388	3136703	2579719
SRZ187521	394528	392926	2002046	4794002	697869
SRZ187522	1154709	755320	3951606	10514151	874548
SRZ187523	924608	247798	1353002	1782783	1092336
SRZ187524	1390964	516533	2106798	3129873	2074317
SRZ187525	1300364	299257	1814707	2290431	1292402
SRZ187526	894009	213142	1653215	1870050	1091710
SRZ187527	451958	127912	974204	892336	686788
SRZ187528	628854	131690	1272797	1198881	687494
SRZ187529	866650	160329	1548637	1823670	731011
SRZ187530	681905	91486	1309415	1145755	504498
SRZ187531	718522	207992	1525542	1678003	828375
SRZ187532	1917449	835178	4720567	6415110	3282543
SRZ187533	694699	171168	1426063	1412887	851633
SRZ187534	754258	146090	1394284	1366181	730506
SRZ187535	648147	115930	1312426	1253981	826171
SRZ187536	752727	150161	1199542	1578146	659178
SRZ187537	937062	285964	2007713	2235910	1665451
SRZ187538	1244286	443839	2856295	3063355	2582865
SRZ187539	1095666	293381	2028473	2410865	1771317
SRZ187540	1374696	271656	2296455	2251830	1848689
SRZ187541	1590407	435751	2544925	3964021	1644887
SRZ187542	1084020	282416	1924402	2517013	1239898
SRZ187543	875251	115008	1161541	841102	409844
SRZ187544	1626902	359106	1597958	2657333	1305994
SRZ187545	988004	277898	2042404	2641078	1004780
SRZ187546	413131	361830	535684	904884	1499915
SRZ187547	344690	444364	5722567	5255838	506645
SRZ187548	588472	438034	2373614	6766010	583401
SRZ187549	618646	86997	897311	843213	471351
SRZ187550	756574	195308	1526889	1350167	1976953
SRZ187551	363087	191533	677282	694998	3527593
SRZ187552	772992	141975	1414064	1255136	619569
SRZ187553	710661	125065	1239268	1256712	1038491
SRZ187554	743478	83539	1177801	892401	607615
SRZ187555	607714	117960	1203249	866079	1555598
SRZ187556	708370	115780	1065618	810994	1050255
SRZ187557	646475	119649	1202310	1150570	487661
SRZ187558	976313	234087	1827315	1999967	968788
SRZ187559	1018434	220088	1578812	1613375	847345
SRZ187560	822771	234977	1852441	1936522	1289421
SRZ187561	770053	170031	1815003	1806056	1007462
SRZ187562	596883	191107	1263289	1130680	749844
SRZ187563	819060	171532	1466899	1414860	838068
SRZ187564	2939561	357013	2101366	2415011	2064987
SRZ187565	589537	109138	1072203	1061451	577371
SRZ187566	753819	189910	1354774	1331383	984668
SRZ187567	810887	187693	2309596	1554269	943673
SRZ187568	843204	188328	1371875	1509348	907735
SRZ187569	917780	250903	1334663	1402929	1064243
SRZ187570	727539	166254	1308118	1468870	979321
SRZ187571	1131924	305278	2290998	2400071	1649780
SRZ187572	582548	45549	940911	646854	232008
SRZ187573	532423	131851	1035453	1063767	777799
SRZ187574	1139652	252120	1730564	2375289	1633076
SRZ187575	818854	167566	1411318	1646192	1159753
SRZ187576	803982	134976	1206800	1420364	906122
SRZ187577	979009	236908	1744852	1996809	1324119
SRZ187578	820338	144117	1182605	1390536	944783
SRZ187579	298627	51668	649861	537232	431265
SRZ187580	214509	65887	673078	467719	453773
SRZ187581	578792	101207	1001250	1085209	704441
SRZ187582	721455	198477	1412080	1557564	1290366
SRZ187583	862243	235672	1550301	1759307	1595718
SRZ187584	839068	96784	949693	1200526	472445
SRZ187585	1208520	209436	1718499	2211761	1111787
SRZ187586	716669	241566	873665	1096085	527961
SRZ187587	878563	187174	1307834	1786066	1002215
SRZ187588	570960	77263	964372	966508	332363
SRZ187589	378934	63054	634665	901791	509300
SRZ187590	558979	158137	1077219	1072552	813943
SRZ187591	881926	154180	898584	1375888	871011
SRZ187592	678428	75635	1046846	851231	621491
SRZ187593	934911	171198	1078914	1469357	713274
SRZ187594	518510	96033	984427	911397	667631
SRZ187595	413190	77503	963932	803819	462496
SRZ187596	501673	97277	894572	838786	451872
SRZ187597	1561825	324998	1895920	2669413	1114507
SRZ187598	1244146	321602	1595887	2302657	1069868
SRZ187599	582137	123132	1133812	1093783	606970
SRZ187600	556338	194002	1288053	1764984	1225167
SRZ187601	1200861	493189	2145581	2605411	2989599
SRZ187602	1298640	400068	2205893	3439204	2781063
SRZ187603	490128	230881	1262552	1493589	1209973
SRZ187604	719029	289929	1135005	2224494	4499607
SRZ187605	1011415	333149	1213610	1735812	2206780
SRZ187606	1104024	295331	1453500	1915896	2498033
SRZ187607	598095	167840	1064275	1328975	1432113
SRZ187608	506506	118573	939879	1426764	1103108
SRZ187609	438793	126036	430080	975401	1088561
SRZ187610	239418	256109	1243706	2780611	414409
SRZ187611	906103	196761	1498311	1631111	1848786
SRZ187612	1079117	401980	1389890	1601128	1703736
SRZ187613	1359573	307396	1701458	2170882	2641666
SRZ187614	937188	164999	1394222	1730312	1518233
SRZ187615	740211	192065	1555473	2142242	1825218
SRZ187616	970165	318058	1646905	2216344	2821858
SRZ187617	1236364	349123	2134114	2406506	3254194
SRZ187618	1019253	205107	1303935	1868228	1413534
SRZ187619	1083899	246385	1609552	2394403	2214160
SRZ187620	901000	218653	1670591	2453012	2212211
SRZ187621	428364	569521	736422	1333737	2555759
SRZ187622	216250	276738	1174607	2803989	426127
SRZ187623	387662	273800	1869106	3537100	497490
SRZ187624	1191589	267741	1466358	2185785	2454471
SRZ187625	752883	146941	1344072	1540942	1516151
SRZ187626	776817	173062	1166956	1550191	1277049
SRZ187627	1749918	666733	2677829	4239154	3627621
SRZ187628	798435	241329	1518786	2360235	2018576
SRZ187629	982402	203818	1400036	1470334	2106577
SRZ187630	883032	164780	1548153	1804129	2001514
SRZ187631	882712	152166	1371969	1454580	1658155
SRZ187632	2099282	660758	1749824	2958097	1310056
SRZ187633	3291739	832697	1381681	2617310	1716844
SRZ187634	1894692	463358	655346	1113919	725657
SRZ187635	1115711	238367	239371	413680	384726
SRZ187636	3079796	537964	877915	1532902	822142
SRZ187637	3763251	572444	1049922	1904215	1063250
SRZ187638	4944955	558572	2198434	3770237	928910
SRZ187639	2277841	749883	2065943	4585379	1305201
SRZ187640	3652673	383310	1407865	2483487	695866
SRZ187641	1753210	269642	853683	1931573	562587
SRZ187642	3977013	565651	2356554	4421920	1357046
SRZ187643	2808136	862653	3591518	7591423	2057608
SRZ187644	2122320	542327	2473270	3746606	622372
SRZ187645	769665	272544	1414208	2219369	344865
SRZ187646	492428	249855	1180970	1997751	213641
SRZ187647	494207	251166	1085299	2066741	196383
SRZ187648	3734	11146	7038	7151	5254
SRZ187649	15309	22596	30849	52857	15335
SRZ187650	13702	10218	10526	17651	5388
SRZ187651	14107	8519	6447	14397	3564
SRZ187652	11638	11321	10184	9326	4930
SRZ187653	5884	2237	125	2392	2037
SRZ187654	13757	18918	23188	29186	7622
SRZ187655	104568	87941	216167	448254	83365
SRZ187656	32040	22206	36696	41494	13270
SRZ187657	1410622	529690	2025437	4217742	768341
SRZ187658	914814	437459	1523296	3038009	507890
SRZ187659	6938087	3228693	10077343	20615915	5237919
SRZ187660	9946370	3782307	17249472	43563937	8261366
SRZ187661	2956515	1246929	5972958	12003286	2303503
SRZ187662	267923	97883	617263	1346601	123719
SRZ187663	562779	168711	753101	1651231	208094
SRZ187664	332855	89183	633418	999416	107636
SRZ187665	303434	120172	509782	1037084	122249
SRZ187666	368179	161454	949074	1732155	457962
SRZ187667	951143	356536	1854332	3555034	926773
SRZ187668	2747550	692953	2293074	3772330	1062074
SRZ187669	3176267	575192	2365469	3661247	859831
SRZ187670	2878420	522088	2346248	4002280	881554
SRZ187671	4124039	714886	3044419	5209916	1284915
SRZ187672	3489932	644269	2679078	4916457	1257787
SRZ187673	2718424	652798	2206312	4600404	1323224
SRZ187674	3244832	379197	1091955	1714311	710245
SRZ187675	3127421	465533	1078366	1605958	663784
SRZ187676	3078862	460128	1124172	1750004	759034
SRZ187677	1040423	316546	2240042	4572864	655672
SRZ187678	1196730	890252	1478232	2418484	711748
SRZ187679	954728	211595	1298588	2579243	505992
SRZ187680	1604013	707074	4201517	8902619	1376536
SRZ187681	1758168	592849	4274371	9234741	1338985
SRZ187682	1053414	370206	2155822	5267257	675208
SRZ187683	1060903	663829	2407154	4918188	675429
SRZ187684	21679387	9351188	60457811	105900312	21870515
SRZ187685	386707	214705	711837	1254592	268452
